iter	RMSE
0	14.63756592
1	14.38099638
2	14.12223349
3	13.8628715
4	13.66197549
5	13.46005885
6	13.23133947
7	13.06210414
8	12.81656004
9	12.57763116
10	12.35689141
11	12.12793513
12	11.93559667
13	11.71583686
14	11.52550503
15	11.34547772
16	11.179123
17	11.02301882
18	10.86134299
19	10.69880845
20	10.56348521
21	10.42148889
22	10.25271482
23	10.08551301
24	9.929935571
25	9.814822174
26	9.660448307
27	9.524817369
28	9.424412326
29	9.290227771
30	9.178682013
31	9.041922281
32	8.91272544
33	8.796004072
34	8.687650145
35	8.594233243
36	8.481713538
37	8.378109227
38	8.268586788
39	8.162409335
40	8.060702791
41	7.959552721
42	7.872807322
43	7.787726755
44	7.689627009
45	7.597685163
46	7.508988503
47	7.421402587
48	7.341942747
49	7.275350952
50	7.199500834
51	7.139664093
52	7.067938258
53	6.997078465
54	6.937426907
55	6.876597084
56	6.820516715
57	6.766722059
58	6.708437168
59	6.649770487
60	6.595195031
61	6.539363747
62	6.479967115
63	6.421435658
64	6.37342021
65	6.311374382
66	6.258510653
67	6.204149413
68	6.16573673
69	6.119918971
70	6.075517154
71	6.032705138
72	5.991762017
73	5.948795263
74	5.916139065
75	5.87343884
76	5.82829183
77	5.788517083
78	5.74882773
79	5.713035992
80	5.687818041
81	5.653668766
82	5.617376981
83	5.589358515
84	5.560284007
85	5.520917874
86	5.489728137
87	5.456863272
88	5.42739624
89	5.401193551
90	5.373412519
91	5.340784989
92	5.321022312
93	5.294269436
94	5.273277348
95	5.251954056
96	5.222313329
97	5.204241509
98	5.177303815
99	5.147655917
100	5.127782123
101	5.098896165
102	5.076221656
103	5.05401774
104	5.033458992
105	5.013119993
106	4.995675254
107	4.976012173
108	4.952127696
109	4.933585243
110	4.921527559
111	4.90332489
112	4.879334546
113	4.85919864
114	4.838535093
115	4.82255904
116	4.808241912
117	4.793535177
118	4.774426149
119	4.757057526
120	4.739800632
121	4.726060937
122	4.711825229
123	4.694531775
124	4.677661292
125	4.666613513
126	4.651210005
127	4.638393809
128	4.625114467
129	4.606622744
130	4.588757221
131	4.568102977
132	4.55290899
133	4.540166826
134	4.526552423
135	4.515934867
136	4.502604737
137	4.489156305
138	4.473769755
139	4.460957339
140	4.450482613
141	4.440590657
142	4.425513738
143	4.414496898
144	4.399051885
145	4.386685103
146	4.373686283
147	4.364974673
148	4.354980544
149	4.348030708
150	4.336391549
151	4.325948348
152	4.31751369
153	4.308977784
154	4.300163576
155	4.292480643
156	4.284732532
157	4.275355182
158	4.263655369
159	4.25651869
160	4.242189008
161	4.231303451
162	4.222679665
163	4.209871615
164	4.197944723
165	4.186253245
166	4.180905773
167	4.168865804
168	4.161678236
169	4.150395998
170	4.142287769
171	4.130062458
172	4.121339189
173	4.115096052
174	4.105006749
175	4.096930934
176	4.091681364
177	4.08600942
178	4.078669018
179	4.069827682
180	4.061324285
181	4.053743317
182	4.045545023
183	4.039171032
184	4.031001279
185	4.023342871
186	4.016425917
187	4.008116414
188	3.996159738
189	3.992283792
190	3.986839706
191	3.981566585
192	3.975732972
193	3.969836894
194	3.960391149
195	3.948511162
196	3.943850353
197	3.933910289
198	3.928010025
199	3.919958615
200	3.90812464
201	3.900261561
202	3.894431682
203	3.88856896
204	3.883737435
205	3.879375353
206	3.875944799
207	3.868492908
208	3.854559945
209	3.847877496
210	3.845959793
211	3.837819745
212	3.835531436
213	3.830292197
214	3.82610979
215	3.818189787
216	3.814137376
217	3.809988372
218	3.801997371
219	3.797911819
220	3.793449141
221	3.787434504
222	3.784048027
223	3.779410917
224	3.772373878
225	3.765546646
226	3.760245265
227	3.75593439
228	3.750717951
229	3.73726575
230	3.729580273
231	3.727230419
232	3.715685787
233	3.712389954
234	3.707681335
235	3.705531147
236	3.70157325
237	3.698519252
238	3.694497035
239	3.692969277
240	3.686841313
241	3.682853954
242	3.674411331
243	3.673454308
244	3.670070956
245	3.665333543
246	3.663291579
247	3.657986429
248	3.655859397
249	3.64775295
250	3.644008053
251	3.640307409
252	3.629679245
253	3.627255311
254	3.626119332
255	3.621633523
256	3.616023058
257	3.61232271
258	3.610960099
259	3.605380286
260	3.599450566
261	3.592338476
262	3.586538489
263	3.58054671
264	3.579587674
265	3.571775616
266	3.571043768
267	3.569833602
268	3.569170289
269	3.560903441
270	3.559241139
271	3.555650486
272	3.553269549
273	3.550691144
274	3.549175313
275	3.54756145
276	3.546698929
277	3.546106094
278	3.543379291
279	3.542654325
280	3.539301856
281	3.533252362
282	3.532171437
