iter	Passed	Remaining
0	0	25
1	0	27
2	0	25
3	0	22
4	1	22
5	1	21
6	1	20
7	1	18
8	1	18
9	1	17
10	2	17
11	2	17
12	2	17
13	2	17
14	3	17
15	3	17
16	3	17
17	3	17
18	4	17
19	4	17
20	4	16
21	4	16
22	4	15
23	4	15
24	5	15
25	5	15
26	5	15
27	5	15
28	6	14
29	6	14
30	6	14
31	6	14
32	6	14
33	7	13
34	7	13
35	7	13
36	7	13
37	8	13
38	8	12
39	8	12
40	8	12
41	8	12
42	9	12
43	9	11
44	9	11
45	9	11
46	10	11
47	10	11
48	10	10
49	10	10
50	10	10
51	11	10
52	11	10
53	11	9
54	11	9
55	12	9
56	12	9
57	12	8
58	12	8
59	12	8
60	13	8
61	13	8
62	13	7
63	13	7
64	13	7
65	14	7
66	14	7
67	14	6
68	14	6
69	15	6
70	15	6
71	15	6
72	15	5
73	15	5
74	16	5
75	16	5
76	16	4
77	16	4
78	16	4
79	17	4
80	17	4
81	17	3
82	17	3
83	18	3
84	18	3
85	18	3
86	18	2
87	18	2
88	19	2
89	19	2
90	19	1
91	19	1
92	20	1
93	20	1
94	20	1
95	20	0
96	20	0
97	20	0
98	21	0
99	21	0
